hotel_id,hotel_name,combined,hotel_site_id
FATCH,Courtyard Fresno,fatch-courtyard-fresno,Marriott-FATCH
FATNO,Fairfield Inn & Suites Fresno North/Shaw Avenue,fatno-fairfield-inn-&-suites-fresno-north/shaw-avenue,Marriott-FATNO
FATAP,Fairfield Inn & Suites Fresno Yosemite International Airport,fatap-fairfield-inn-&-suites-fresno-yosemite-international-airport,Marriott-FATAP
FATSH,SpringHill Suites Fresno,fatsh-springhill-suites-fresno,Marriott-FATSH
FATTS,TownePlace Suites Fresno,fatts-towneplace-suites-fresno,Marriott-FATTS
LAXFL,Fullerton Marriott at California State University,laxfl-fullerton-marriott-at-california-state-university,Marriott-LAXFL
SNADE,Delta Hotels Anaheim Garden Grove,snade-delta-hotels-anaheim-garden-grove,Marriott-SNADE
SNAAS,Anaheim Marriott Suites,snaas-anaheim-marriott-suites,Marriott-SNAAS
SNAAG,Residence Inn Anaheim Resort Area/Garden Grove,snaag-residence-inn-anaheim-resort-area/garden-grove,Marriott-SNAAG
SNAAN,Sheraton Garden Grove - Anaheim South Hotel,snaan-sheraton-garden-grove---anaheim-south-hotel,Marriott-SNAAN
LAXRL,Residence Inn Los Angeles Glendale,laxrl-residence-inn-los-angeles-glendale,Marriott-LAXRL
LAXTG,"The Glenmark, Glendale, a Tribute Portfolio Hotel","laxtg-the-glenmark,-glendale,-a-tribute-portfolio-hotel",Marriott-LAXTG
SBACY,Courtyard Santa Barbara Goleta,sbacy-courtyard-santa-barbara-goleta,Marriott-SBACY
SBAGO,Residence Inn Santa Barbara Goleta,sbago-residence-inn-santa-barbara-goleta,Marriott-SBAGO
LAXHH,Courtyard Los Angeles Hacienda Heights/Orange County,laxhh-courtyard-los-angeles-hacienda-heights/orange-county,Marriott-LAXHH
HAFRZ,"The Ritz-Carlton, Half Moon Bay","hafrz-the-ritz-carlton,-half-moon-bay",Marriott-HAFRZ
LAXHC,Courtyard Los Angeles LAX/Hawthorne,laxhc-courtyard-los-angeles-lax/hawthorne,Marriott-LAXHC
LAXHW,SpringHill Suites Los Angeles LAX/Manhattan Beach,laxhw-springhill-suites-los-angeles-lax/manhattan-beach,Marriott-LAXHW
LAXTH,TownePlace Suites Los Angeles LAX/Hawthorne,laxth-towneplace-suites-los-angeles-lax/hawthorne,Marriott-LAXTH
LAXHT,TownePlace Suites Los Angeles LAX/Manhattan Beach,laxht-towneplace-suites-los-angeles-lax/manhattan-beach,Marriott-LAXHT
OAKFI,Fairfield Inn & Suites Oakland Hayward,oakfi-fairfield-inn-&-suites-oakland-hayward,Marriott-OAKFI
STSRI,Hotel Trio Healdsburg,stsri-hotel-trio-healdsburg,Marriott-STSRI
ONTHS,Courtyard Victorville Hesperia,onths-courtyard-victorville-hesperia,Marriott-ONTHS
ONTSH,SpringHill Suites Victorville Hesperia,ontsh-springhill-suites-victorville-hesperia,Marriott-ONTSH
MRYHO,Fairfield Inn & Suites Hollister,mryho-fairfield-inn-&-suites-hollister,Marriott-MRYHO
LAXWH,W Hollywood,laxwh-w-hollywood,Marriott-LAXWH
SNAHU,SpringHill Suites Huntington Beach Orange County,snahu-springhill-suites-huntington-beach-orange-county,Marriott-SNAHU
PSPSR,"Renaissance Esmeralda Resort & Spa, Indian Wells","pspsr-renaissance-esmeralda-resort-&-spa,-indian-wells",Marriott-PSPSR
PSPFI,Fairfield Inn & Suites Indio Coachella Valley,pspfi-fairfield-inn-&-suites-indio-coachella-valley,Marriott-PSPFI
SNAAI,AC Hotel Irvine,snaai-ac-hotel-irvine,Marriott-SNAAI
LAXCH,Courtyard Irvine John Wayne Airport/Orange County,laxch-courtyard-irvine-john-wayne-airport/orange-county,Marriott-LAXCH
SNASI,Courtyard Irvine Spectrum,snasi-courtyard-irvine-spectrum,Marriott-SNASI
LAXIR,Irvine Marriott,laxir-irvine-marriott,Marriott-LAXIR
SNAMC,Marriott Irvine Spectrum,snamc-marriott-irvine-spectrum,Marriott-SNAMC
SNAIV,Residence Inn Irvine John Wayne Airport/Orange County,snaiv-residence-inn-irvine-john-wayne-airport/orange-county,Marriott-SNAIV
SNAIR,Residence Inn Irvine Spectrum,snair-residence-inn-irvine-spectrum,Marriott-SNAIR
SNAAP,SpringHill Suites Irvine John Wayne Airport/Orange County,snaap-springhill-suites-irvine-john-wayne-airport/orange-county,Marriott-SNAAP
SNAEI,Element Irvine,snaei-element-irvine,Marriott-SNAEI
FATKB,Fairfield Inn & Suites Selma Kingsburg,fatkb-fairfield-inn-&-suites-selma-kingsburg,Marriott-FATKB
SANLJ,San Diego Marriott La Jolla,sanlj-san-diego-marriott-la-jolla,Marriott-SANLJ
LAJCA,Residence Inn San Diego La Jolla,lajca-residence-inn-san-diego-la-jolla,Marriott-LAJCA
SANJS,Sheraton La Jolla Hotel,sanjs-sheraton-la-jolla-hotel,Marriott-SANJS
SNALM,Residence Inn La Mirada Buena Park,snalm-residence-inn-la-mirada-buena-park,Marriott-SNALM
PSPRQ,Residence Inn La Quinta,psprq-residence-inn-la-quinta,Marriott-PSPRQ
SNASF,SpringHill Suites Irvine Lake Forest,snasf-springhill-suites-irvine-lake-forest,Marriott-SNASF
SNATL,TownePlace Suites Irvine Lake Forest,snatl-towneplace-suites-irvine-lake-forest,Marriott-SNATL
BURFL,Fairfield Inn & Suites Lancaster Palmdale,burfl-fairfield-inn-&-suites-lancaster-palmdale,Marriott-BURFL
BURLP,Residence Inn Lancaster Palmdale,burlp-residence-inn-lancaster-palmdale,Marriott-BURLP
WJFSH,SpringHill Suites Lancaster Palmdale,wjfsh-springhill-suites-lancaster-palmdale,Marriott-WJFSH
WJFTS,TownePlace Suites Lancaster,wjfts-towneplace-suites-lancaster,Marriott-WJFTS
SFOLL,Courtyard San Francisco Larkspur Landing/Marin County,sfoll-courtyard-san-francisco-larkspur-landing/marin-county,Marriott-SFOLL
SCKLF,Fairfield Inn & Suites Stockton Lathrop,scklf-fairfield-inn-&-suites-stockton-lathrop,Marriott-SCKLF
OAKLM,Courtyard Livermore,oaklm-courtyard-livermore,Marriott-OAKLM
OAKRL,Residence Inn Livermore,oakrl-residence-inn-livermore,Marriott-OAKRL
SCKFI,Fairfield Inn & Suites Lodi,sckfi-fairfield-inn-&-suites-lodi,Marriott-SCKFI
RALTS,TownePlace Suites San Bernardino Loma Linda,ralts-towneplace-suites-san-bernardino-loma-linda,Marriott-RALTS
LGBCL,Courtyard Long Beach Airport,lgbcl-courtyard-long-beach-airport,Marriott-LGBCL
LGBCY,Courtyard Long Beach Downtown,lgbcy-courtyard-long-beach-downtown,Marriott-LGBCY
LGBLB,Long Beach Marriott,lgblb-long-beach-marriott,Marriott-LGBLB
LGBRN,Renaissance Long Beach Hotel,lgbrn-renaissance-long-beach-hotel,Marriott-LGBRN
LAXBH,Residence Inn Long Beach,laxbh-residence-inn-long-beach,Marriott-LAXBH
LGBRI,Residence Inn Long Beach Downtown,lgbri-residence-inn-long-beach-downtown,Marriott-LGBRI
LGBWI,The Westin Long Beach,lgbwi-the-westin-long-beach,Marriott-LGBWI
SNAFA,Fairfield Inn & Suites Anaheim Los Alamitos,snafa-fairfield-inn-&-suites-anaheim-los-alamitos,Marriott-SNAFA
SNAOC,Residence Inn Cypress Los Alamitos,snaoc-residence-inn-cypress-los-alamitos,Marriott-SNAOC
PAOCY,Courtyard Palo Alto Los Altos,paocy-courtyard-palo-alto-los-altos,Marriott-PAOCY
PAORI,Residence Inn Palo Alto Los Altos,paori-residence-inn-palo-alto-los-altos,Marriott-PAORI
LAXAB,AC Hotel Beverly Hills,laxab-ac-hotel-beverly-hills,Marriott-LAXAB
LAXAV,AC Hotel Downtown Los Angeles,laxav-ac-hotel-downtown-los-angeles,Marriott-LAXAV
LAXCE,Courtyard Los Angeles Century City/Beverly Hills,laxce-courtyard-los-angeles-century-city/beverly-hills,Marriott-LAXCE
LAXLD,Courtyard Los Angeles L.A. LIVE,laxld-courtyard-los-angeles-l.a.-live,Marriott-LAXLD
LAXCY,Courtyard Los Angeles LAX/Century Boulevard,laxcy-courtyard-los-angeles-lax/century-boulevard,Marriott-LAXCY
LAXJW,JW Marriott Los Angeles L.A. LIVE,laxjw-jw-marriott-los-angeles-l.a.-live,Marriott-LAXJW
LAXBV,Beverly Hills Marriott,laxbv-beverly-hills-marriott,Marriott-LAXBV
LAXAP,Los Angeles Airport Marriott,laxap-los-angeles-airport-marriott,Marriott-LAXAP
LAXOX,Moxy Downtown Los Angeles,laxox-moxy-downtown-los-angeles,Marriott-LAXOX
LAXRR,Renaissance Los Angeles Airport Hotel,laxrr-renaissance-los-angeles-airport-hotel,Marriott-LAXRR
